model_id,auc,logloss,mean_per_class_error,rmse,mse
GLM_grid_1_AutoML_20190426_094030_model_1,0.7037050422028931,0.4259087150448904,0.4668125167719976,0.36364719295443865,0.1322392809436427
GBM_grid_1_AutoML_20190426_094030_model_2,0.7023853546126044,0.4358391107710475,0.4707839671679109,0.3684145146839566,0.13572925462981528
GBM_grid_1_AutoML_20190426_094030_model_35,0.6975499625853171,0.4477504937955895,0.4665286946634226,0.37399894065884265,0.13987520761393651
GBM_grid_1_AutoML_20190426_094030_model_36,0.695078714959016,0.4397965725746516,0.4673628742104656,0.3701706975251877,0.13702634530628402
GBM_grid_1_AutoML_20190426_094030_model_12,0.6950421452979477,0.4433723606535256,0.4676179384516041,0.3717870742101653,0.13822562854975493
GBM_grid_1_AutoML_20190426_094030_model_23,0.6939686333277728,0.4440055938619161,0.4703488836908541,0.3721144546918855,0.13846916739063933
GBM_grid_1_AutoML_20190426_094030_model_3,0.6934600077458141,0.4408327116380891,0.4744606093498242,0.37060330897918137,0.13734681262631854
GBM_grid_1_AutoML_20190426_094030_model_15,0.690961780524285,0.4398535576556568,0.4728974669781016,0.3701521893443398,0.137012643276408
GBM_grid_1_AutoML_20190426_094030_model_7,0.6899060266160275,0.4351303266441995,0.4692883977701091,0.3680595384220194,0.13546782382342998
GBM_grid_1_AutoML_20190426_094030_model_43,0.6891405516706747,0.4310505308936297,0.4714470133600413,0.3659355663942451,0.133908838752277
GBM_grid_1_AutoML_20190426_094030_model_37,0.6849023905836645,0.4659389361557157,0.4750637970909977,0.3814537190871736,0.1455069398054364
GBM_grid_1_AutoML_20190426_094030_model_17,0.6829508341052926,0.4345674287627883,0.4753873631724341,0.36712700431493134,0.1347822372972556
GBM_grid_1_AutoML_20190426_094030_model_29,0.6814190868691125,0.43483458925392815,0.4778101713761754,0.3675491347875551,0.13509236648308035
XRT_1_AutoML_20190426_094030,0.6802409568706845,0.4380732909006696,0.4692184820801043,0.3681852204474184,0.13556035655591406
GBM_grid_1_AutoML_20190426_094030_model_13,0.6794202390360627,0.4407984421146596,0.4769418621548158,0.3708640354049185,0.13754013275682067
